set_id,quiz_id,country_name,flag_image,question_text,option_a,option_b,option_c,option_d,correct_answer
Set_01,1,Albania,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_01_001_(albania).png"")",Which country does this flag belong to?,Albania,Liechtenstein,Costa Rica,Cayman Islands,Albania
Set_01,2,Afghanistan,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_01_002_(afghanistan).png"")",Which country does this flag belong to?,Afghanistan,Slovakia,Switzerland,New Caledonia,Afghanistan
Set_01,3,Andorra,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_01_003_(andorra).png"")",Which country does this flag belong to?,Andorra,"Tanzania, United Republic of",Mauritius,Germany,Andorra
Set_02,4,Algeria,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_02_004_(algeria).png"")",Which country does this flag belong to?,Jamaica,Paraguay,Benin,Algeria,Algeria
Set_02,5,American Samoa,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_02_005_(american_samoa).png"")",Which country does this flag belong to?,Saint Lucia,American Samoa,Saint Barthélemy,Western Sahara,American Samoa
Set_02,6,Antarctica,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_02_006_(antarctica).png"")",Which country does this flag belong to?,Zimbabwe,Lebanon,Antarctica,Saint Vincent and the Grenadines,Antarctica
Set_03,7,Argentina,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_03_007_(argentina).png"")",Which country does this flag belong to?,Madagascar,Sierra Leone,Solomon Islands,Argentina,Argentina
Set_03,8,Angola,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_03_008_(angola).png"")",Which country does this flag belong to?,Thailand,Turks and Caicos Islands,Samoa,Angola,Angola
Set_03,9,Antigua and Barbuda,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_03_009_(antigua_and_barbuda).png"")",Which country does this flag belong to?,"Saint Helena, Ascension and Tristan da Cunha",Cambodia,Comoros,Antigua and Barbuda,Antigua and Barbuda
Set_04,10,Australia,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_04_010_(australia).png"")",Which country does this flag belong to?,"Tanzania, United Republic of",Bouvet Island,Australia,Scotland,Australia
Set_04,11,Anguilla,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_04_011_(anguilla).png"")",Which country does this flag belong to?,Russian Federation,Panama,Ghana,Anguilla,Anguilla
Set_04,12,Aruba,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_04_012_(aruba).png"")",Which country does this flag belong to?,Aruba,Belize,Panama,Guinea,Aruba
Set_05,13,Austria,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_05_013_(austria).png"")",Which country does this flag belong to?,Antigua and Barbuda,Austria,Papua New Guinea,Azerbaijan,Austria
Set_05,14,Armenia,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_05_014_(armenia).png"")",Which country does this flag belong to?,Rwanda,Saint Martin,Armenia,Nigeria,Armenia
Set_05,15,Bahamas,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_05_015_(bahamas).png"")",Which country does this flag belong to?,Vietnam,Republic of the Congo,Bahamas,Pitcairn,Bahamas
Set_06,16,Bangladesh,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_06_016_(bangladesh).png"")",Which country does this flag belong to?,Tuvalu,Bangladesh,Albania,Republic of Türkiye,Bangladesh
Set_06,17,Azerbaijan,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_06_017_(azerbaijan).png"")",Which country does this flag belong to?,French Guiana,Cayman Islands,Sao Tome and Principe,Azerbaijan,Azerbaijan
Set_06,18,Barbados,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_06_018_(barbados).png"")",Which country does this flag belong to?,Cyprus,Barbados,Rwanda,Uruguay,Barbados
Set_07,19,Belgium,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_07_019_(belgium).png"")",Which country does this flag belong to?,Belgium,El Salvador,Pakistan,England,Belgium
Set_07,20,Bahrain,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_07_020_(bahrain).png"")",Which country does this flag belong to?,Bahrain,French Guiana,Saint Lucia,Brazil,Bahrain
Set_07,21,Benin,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_07_021_(benin).png"")",Which country does this flag belong to?,Mexico,Benin,Pakistan,Grenada,Benin
Set_08,22,"Bolivia, Plurinational State of","=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_08_022_(bolivia_plurinational).png"")",Which country does this flag belong to?,Mexico,Maldives,Thailand,"Bolivia, Plurinational State of","Bolivia, Plurinational State of"
Set_08,23,Belarus,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_08_023_(belarus).png"")",Which country does this flag belong to?,Azerbaijan,Tokelau,Belarus,Colombia,Belarus
Set_08,24,Bermuda,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_08_024_(bermuda).png"")",Which country does this flag belong to?,Bermuda,Peru,Isle of Man,Moldova,Bermuda
Set_09,25,Bosnia and Herzegovina,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_09_025_(bosnia_and_herzegovina).png"")",Which country does this flag belong to?,Latvia,Kyrgyzstan,Uganda,Bosnia and Herzegovina,Bosnia and Herzegovina
Set_09,26,Belize,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_09_026_(belize).png"")",Which country does this flag belong to?,Moldova,Belize,"Venezuela, Bolivarian Republic of",Tuvalu,Belize
Set_09,27,Bouvet Island,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_09_027_(bouvet_island).png"")",Which country does this flag belong to?,Saint Kitts and Nevis,Malta,Czech Republic,Bouvet Island,Bouvet Island
Set_10,28,Brazil,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_10_028_(brazil).png"")",Which country does this flag belong to?,Denmark,Somalia,Caribbean Netherlands,Brazil,Brazil
Set_10,29,Bhutan,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_10_029_(bhutan).png"")",Which country does this flag belong to?,Dominica,Saint Pierre and Miquelon,Bhutan,Saint Lucia,Bhutan
Set_10,30,British Indian Ocean Territory,"=IMAGE(""https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_10_030_(british_indian_ocean_territory).png"")",Which country does this flag belong to?,Turkmenistan,Afghanistan,British Indian Ocean Territory,Andorra,British Indian Ocean Territory
