set_id,quiz_id,difficulty,difficulty_number,country_filename,country_name,flag_image_path,image,question_text,option_a,option_b,option_c,option_d,correct_answer,correct_option
Set_01,1,beginner,beginner01,albania,Albania,Set_01_001_(albania).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_01_001_(albania).png,Which country does this flag belong to?,Albania,Liechtenstein,Costa Rica,Cayman Islands,Albania,A
Set_01,2,intermediate,intermediate01,afghanistan,Afghanistan,Set_01_002_(afghanistan).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_01_002_(afghanistan).png,Which country does this flag belong to?,Afghanistan,Slovakia,Switzerland,New Caledonia,Afghanistan,A
Set_01,3,high,high01,andorra,Andorra,Set_01_003_(andorra).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_01_003_(andorra).png,Which country does this flag belong to?,Andorra,"Tanzania, United Republic of",Mauritius,Germany,Andorra,A
Set_02,4,beginner,beginner02,algeria,Algeria,Set_02_004_(algeria).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_02_004_(algeria).png,Which country does this flag belong to?,Jamaica,Paraguay,Benin,Algeria,Algeria,D
Set_02,5,intermediate,intermediate02,american_samoa,American Samoa,Set_02_005_(american_samoa).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_02_005_(american_samoa).png,Which country does this flag belong to?,Saint Lucia,American Samoa,Saint Barthélemy,Western Sahara,American Samoa,B
Set_02,6,high,high02,antarctica,Antarctica,Set_02_006_(antarctica).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_02_006_(antarctica).png,Which country does this flag belong to?,Zimbabwe,Lebanon,Antarctica,Saint Vincent and the Grenadines,Antarctica,C
Set_03,7,beginner,beginner03,argentina,Argentina,Set_03_007_(argentina).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_03_007_(argentina).png,Which country does this flag belong to?,Madagascar,Sierra Leone,Solomon Islands,Argentina,Argentina,D
Set_03,8,intermediate,intermediate03,angola,Angola,Set_03_008_(angola).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_03_008_(angola).png,Which country does this flag belong to?,Thailand,Turks and Caicos Islands,Samoa,Angola,Angola,D
Set_03,9,high,high03,antigua_and_barbuda,Antigua and Barbuda,Set_03_009_(antigua_and_barbuda).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_03_009_(antigua_and_barbuda).png,Which country does this flag belong to?,"Saint Helena, Ascension and Tristan da Cunha",Cambodia,Comoros,Antigua and Barbuda,Antigua and Barbuda,D
Set_04,10,beginner,beginner04,australia,Australia,Set_04_010_(australia).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_04_010_(australia).png,Which country does this flag belong to?,"Tanzania, United Republic of",Bouvet Island,Australia,Scotland,Australia,C
Set_04,11,intermediate,intermediate04,anguilla,Anguilla,Set_04_011_(anguilla).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_04_011_(anguilla).png,Which country does this flag belong to?,Russian Federation,Panama,Ghana,Anguilla,Anguilla,D
Set_04,12,high,high04,aruba,Aruba,Set_04_012_(aruba).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_04_012_(aruba).png,Which country does this flag belong to?,Aruba,Belize,Panama,Guinea,Aruba,A
Set_05,13,beginner,beginner05,austria,Austria,Set_05_013_(austria).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_05_013_(austria).png,Which country does this flag belong to?,Antigua and Barbuda,Austria,Papua New Guinea,Azerbaijan,Austria,B
Set_05,14,intermediate,intermediate05,armenia,Armenia,Set_05_014_(armenia).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_05_014_(armenia).png,Which country does this flag belong to?,Rwanda,Saint Martin,Armenia,Nigeria,Armenia,C
