quiz_id,difficulty,difficulty_number,country_filename,country_name,flag_image_path,image_url,question_text,option_a,option_b,option_c,option_d,correct_answer,correct_option
1,beginner,beginner01,albania,Albania,beginner/begin01_albania.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin01_albania.svg,Which country does this flag belong to?,Albania,Liechtenstein,Costa Rica,Cayman Islands,Albania,A
2,beginner,beginner02,algeria,Algeria,beginner/begin02_algeria.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin02_algeria.svg,Which country does this flag belong to?,Jamaica,Paraguay,Benin,Algeria,Algeria,D
3,beginner,beginner03,argentina,Argentina,beginner/begin03_argentina.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin03_argentina.svg,Which country does this flag belong to?,Madagascar,Sierra Leone,Solomon Islands,Argentina,Argentina,D
4,beginner,beginner04,australia,Australia,beginner/begin04_australia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin04_australia.svg,Which country does this flag belong to?,"Tanzania, United Republic of",Bouvet Island,Australia,Scotland,Australia,C
5,beginner,beginner05,austria,Austria,beginner/begin05_austria.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin05_austria.svg,Which country does this flag belong to?,Antigua and Barbuda,Austria,Papua New Guinea,Azerbaijan,Austria,B
6,beginner,beginner06,bangladesh,Bangladesh,beginner/begin06_bangladesh.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin06_bangladesh.svg,Which country does this flag belong to?,Tuvalu,Bangladesh,Albania,Republic of Türkiye,Bangladesh,B
7,beginner,beginner07,belgium,Belgium,beginner/begin07_belgium.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin07_belgium.svg,Which country does this flag belong to?,Belgium,El Salvador,Pakistan,England,Belgium,A
8,beginner,beginner08,bolivia_plurinational,"Bolivia, Plurinational State of",beginner/begin08_bolivia_plurinational.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin08_bolivia_plurinational.svg,Which country does this flag belong to?,Mexico,Maldives,Thailand,"Bolivia, Plurinational State of","Bolivia, Plurinational State of",D
9,beginner,beginner09,bosnia_and_herzegovina,Bosnia and Herzegovina,beginner/begin09_bosnia_and_herzegovina.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin09_bosnia_and_herzegovina.svg,Which country does this flag belong to?,Latvia,Kyrgyzstan,Uganda,Bosnia and Herzegovina,Bosnia and Herzegovina,D
10,beginner,beginner10,brazil,Brazil,beginner/begin10_brazil.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin10_brazil.svg,Which country does this flag belong to?,Denmark,Somalia,Caribbean Netherlands,Brazil,Brazil,D
11,beginner,beginner11,cameroon,Cameroon,beginner/begin11_cameroon.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin11_cameroon.svg,Which country does this flag belong to?,Cameroon,Suriname,Mongolia,Belize,Cameroon,A
12,beginner,beginner12,chile,Chile,beginner/begin12_chile.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin12_chile.svg,Which country does this flag belong to?,"Virgin Islands, British",Chile,Bahrain,Myanmar,Chile,B
13,beginner,beginner13,china,China,beginner/begin13_china.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin13_china.svg,Which country does this flag belong to?,China,Saint Martin,Greece,Uzbekistan,China,A
14,beginner,beginner14,colombia,Colombia,beginner/begin14_colombia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin14_colombia.svg,Which country does this flag belong to?,Guadeloupe,Colombia,Trinidad and Tobago,Guam,Colombia,B
15,beginner,beginner15,costa_rica,Costa Rica,beginner/begin15_costa_rica.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin15_costa_rica.svg,Which country does this flag belong to?,Saint Kitts and Nevis,Puerto Rico,Costa Rica,Antigua and Barbuda,Costa Rica,C
16,beginner,beginner16,croatia,Croatia,beginner/begin16_croatia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin16_croatia.svg,Which country does this flag belong to?,Cyprus,Barbados,Slovenia,Croatia,Croatia,D
17,beginner,beginner17,cuba,Cuba,beginner/begin17_cuba.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin17_cuba.svg,Which country does this flag belong to?,Botswana,Zimbabwe,Sweden,Cuba,Cuba,D
18,beginner,beginner18,cyprus,Cyprus,beginner/begin18_cyprus.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin18_cyprus.svg,Which country does this flag belong to?,Cambodia,Chile,Cyprus,Tokelau,Cyprus,C
19,beginner,beginner19,denmark,Denmark,beginner/begin19_denmark.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin19_denmark.svg,Which country does this flag belong to?,Guinea,Northern Ireland,Denmark,United Kingdom,Denmark,C
