set_id,quiz_id,country_name,image,question_text,option_a,option_b,option_c,option_d,correct_answer
Set_34,101,"Korea, Republic of",Set_34_101_(korea).png,Which country does this flag belong to?,"Korea, Republic of",Cocos Islands,Singapore,American Samoa,"Korea, Republic of"
Set_34,102,Guam,Set_34_102_(guam).png,Which country does this flag belong to?,Indonesia,"Bolivia, Plurinational State of",Sudan,Guam,Guam
Set_35,103,Indonesia,Set_35_103_(indonesia).png,Which country does this flag belong to?,Angola,Indonesia,Saudi Arabia,Puerto Rico,Indonesia
Set_35,104,Kosovo,Set_35_104_(kosovo).png,Which country does this flag belong to?,Wallis and Futuna Islands,Kosovo,Benin,Comoros,Kosovo
Set_35,105,Guernsey,Set_35_105_(guernsey).png,Which country does this flag belong to?,Guernsey,Bouvet Island,Botswana,Sint Maarten,Guernsey
Set_36,106,"Iran, Islamic Republic of",Set_36_106_(iran_islamic).png,Which country does this flag belong to?,Ethiopia,Gambia,"Iran, Islamic Republic of",Sint Maarten,"Iran, Islamic Republic of"
Set_36,107,Kuwait,Set_36_107_(kuwait).png,Which country does this flag belong to?,Macao,Vanuatu,Kuwait,Côte d'Ivoire,Kuwait
Set_36,108,Guinea,Set_36_108_(guinea).png,Which country does this flag belong to?,Guinea,Egypt,US Minor Outlying Islands,Europe,Guinea
Set_37,109,Ireland,Set_37_109_(ireland).png,Which country does this flag belong to?,Turkmenistan,Samoa,Cameroon,Ireland,Ireland
Set_37,110,Kyrgyzstan,Set_37_110_(kyrgyzstan).png,Which country does this flag belong to?,South Georgia and the South Sandwich Islands,Kenya,Kyrgyzstan,Malta,Kyrgyzstan
Set_37,111,Heard Island and McDonald Islands,Set_37_111_(heard_island_and_mcdonald_islands).png,Which country does this flag belong to?,Antigua and Barbuda,Tokelau,Mayotte,Heard Island and McDonald Islands,Heard Island and McDonald Islands
Set_38,112,Israel,Set_38_112_(israel).png,Which country does this flag belong to?,Cocos Islands,Portugal,Korea Democratic Peoples,Israel,Israel
Set_38,113,Laos,Set_38_113_(laos).png,Which country does this flag belong to?,Belarus,Laos,Burundi,"Tanzania, United Republic of",Laos
Set_38,114,Holy See,Set_38_114_(holy_see).png,Which country does this flag belong to?,Holy See,Belarus,Uruguay,Croatia,Holy See
Set_39,115,Italy,Set_39_115_(italy).png,Which country does this flag belong to?,Sweden,Macao,Rwanda,Italy,Italy
Set_39,116,Liechtenstein,Set_39_116_(liechtenstein).png,Which country does this flag belong to?,Liechtenstein,Lesotho,Haiti,Burundi,Liechtenstein
Set_39,117,Hong Kong,Set_39_117_(hong_kong).png,Which country does this flag belong to?,Aruba,Hong Kong,Myanmar,Lithuania,Hong Kong
Set_40,118,Jamaica,Set_40_118_(jamaica).png,Which country does this flag belong to?,Caribbean Netherlands,Angola,Zimbabwe,Jamaica,Jamaica
Set_40,119,Macao,Set_40_119_(macao).png,Which country does this flag belong to?,Nauru,Australia,Macao,Kiribati,Macao
