set_id,quiz_id,difficulty,difficulty_number,country_filename,country_name,flag_image_path,image_url,question_text,option_a,option_b,option_c,option_d,correct_answer,correct_option
Set_01,1,beginner,beginner01,albania,Albania,begin01_albania.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin01_albania.png,Which country does this flag belong to?,Albania,Liechtenstein,Costa Rica,Cayman Islands,Albania,A
Set_01,2,intermediate,intermediate01,afghanistan,Afghanistan,inter01_afghanistan.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter01_afghanistan.png,Which country does this flag belong to?,Afghanistan,Slovakia,Switzerland,New Caledonia,Afghanistan,A
Set_01,3,high,high01,andorra,Andorra,high01_andorra.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high01_andorra.png,Which country does this flag belong to?,Andorra,"Tanzania, United Republic of",Mauritius,Germany,Andorra,A
Set_02,4,beginner,beginner02,algeria,Algeria,begin02_algeria.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin02_algeria.png,Which country does this flag belong to?,Jamaica,Paraguay,Benin,Algeria,Algeria,D
Set_02,5,intermediate,intermediate02,american_samoa,American Samoa,inter02_american_samoa.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter02_american_samoa.png,Which country does this flag belong to?,Saint Lucia,American Samoa,Saint Barthélemy,Western Sahara,American Samoa,B
Set_02,6,high,high02,antarctica,Antarctica,high02_antarctica.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high02_antarctica.png,Which country does this flag belong to?,Zimbabwe,Lebanon,Antarctica,Saint Vincent and the Grenadines,Antarctica,C
Set_03,7,beginner,beginner03,argentina,Argentina,begin03_argentina.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin03_argentina.png,Which country does this flag belong to?,Madagascar,Sierra Leone,Solomon Islands,Argentina,Argentina,D
Set_03,8,intermediate,intermediate03,angola,Angola,inter03_angola.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter03_angola.png,Which country does this flag belong to?,Thailand,Turks and Caicos Islands,Samoa,Angola,Angola,D
Set_03,9,high,high03,antigua_and_barbuda,Antigua and Barbuda,high03_antigua_and_barbuda.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high03_antigua_and_barbuda.png,Which country does this flag belong to?,"Saint Helena, Ascension and Tristan da Cunha",Cambodia,Comoros,Antigua and Barbuda,Antigua and Barbuda,D
Set_04,10,beginner,beginner04,australia,Australia,begin04_australia.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin04_australia.png,Which country does this flag belong to?,"Tanzania, United Republic of",Bouvet Island,Australia,Scotland,Australia,C
Set_04,11,intermediate,intermediate04,anguilla,Anguilla,inter04_anguilla.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter04_anguilla.png,Which country does this flag belong to?,Russian Federation,Panama,Ghana,Anguilla,Anguilla,D
Set_04,12,high,high04,aruba,Aruba,high04_aruba.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high04_aruba.png,Which country does this flag belong to?,Aruba,Belize,Panama,Guinea,Aruba,A
Set_05,13,beginner,beginner05,austria,Austria,begin05_austria.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin05_austria.png,Which country does this flag belong to?,Antigua and Barbuda,Austria,Papua New Guinea,Azerbaijan,Austria,B
Set_05,14,intermediate,intermediate05,armenia,Armenia,inter05_armenia.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter05_armenia.png,Which country does this flag belong to?,Rwanda,Saint Martin,Armenia,Nigeria,Armenia,C
Set_05,15,high,high05,bahamas,Bahamas,high05_bahamas.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high05_bahamas.png,Which country does this flag belong to?,Vietnam,Republic of the Congo,Bahamas,Pitcairn,Bahamas,C
Set_06,16,beginner,beginner06,bangladesh,Bangladesh,begin06_bangladesh.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin06_bangladesh.png,Which country does this flag belong to?,Tuvalu,Bangladesh,Albania,Republic of Türkiye,Bangladesh,B
Set_06,17,intermediate,intermediate06,azerbaijan,Azerbaijan,inter06_azerbaijan.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter06_azerbaijan.png,Which country does this flag belong to?,French Guiana,Cayman Islands,Sao Tome and Principe,Azerbaijan,Azerbaijan,D
Set_06,18,high,high06,barbados,Barbados,high06_barbados.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high06_barbados.png,Which country does this flag belong to?,Cyprus,Barbados,Rwanda,Uruguay,Barbados,B
Set_07,19,beginner,beginner07,belgium,Belgium,begin07_belgium.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin07_belgium.png,Which country does this flag belong to?,Belgium,El Salvador,Pakistan,England,Belgium,A
Set_07,20,intermediate,intermediate07,bahrain,Bahrain,inter07_bahrain.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter07_bahrain.png,Which country does this flag belong to?,Bahrain,French Guiana,Saint Lucia,Brazil,Bahrain,A
Set_07,21,high,high07,benin,Benin,high07_benin.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high07_benin.png,Which country does this flag belong to?,Mexico,Benin,Pakistan,Grenada,Benin,B
Set_08,22,beginner,beginner08,bolivia_plurinational,"Bolivia, Plurinational State of",begin08_bolivia_plurinational.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin08_bolivia_plurinational.png,Which country does this flag belong to?,Mexico,Maldives,Thailand,"Bolivia, Plurinational State of","Bolivia, Plurinational State of",D
Set_08,23,intermediate,intermediate08,belarus,Belarus,inter08_belarus.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter08_belarus.png,Which country does this flag belong to?,Azerbaijan,Tokelau,Belarus,Colombia,Belarus,C
Set_08,24,high,high08,bermuda,Bermuda,high08_bermuda.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high08_bermuda.png,Which country does this flag belong to?,Bermuda,Peru,Isle of Man,Moldova,Bermuda,A
Set_09,25,beginner,beginner09,bosnia_and_herzegovina,Bosnia and Herzegovina,begin09_bosnia_and_herzegovina.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin09_bosnia_and_herzegovina.png,Which country does this flag belong to?,Latvia,Kyrgyzstan,Uganda,Bosnia and Herzegovina,Bosnia and Herzegovina,D
Set_09,26,intermediate,intermediate09,belize,Belize,inter09_belize.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter09_belize.png,Which country does this flag belong to?,Moldova,Belize,"Venezuela, Bolivarian Republic of",Tuvalu,Belize,B
Set_09,27,high,high09,bouvet_island,Bouvet Island,high09_bouvet_island.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high09_bouvet_island.png,Which country does this flag belong to?,Saint Kitts and Nevis,Malta,Czech Republic,Bouvet Island,Bouvet Island,D
Set_10,28,beginner,beginner10,brazil,Brazil,begin10_brazil.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin10_brazil.png,Which country does this flag belong to?,Denmark,Somalia,Caribbean Netherlands,Brazil,Brazil,D
Set_10,29,intermediate,intermediate10,bhutan,Bhutan,inter10_bhutan.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter10_bhutan.png,Which country does this flag belong to?,Dominica,Saint Pierre and Miquelon,Bhutan,Saint Lucia,Bhutan,C
Set_10,30,high,high10,british_indian_ocean_territory,British Indian Ocean Territory,high10_british_indian_ocean_territory.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high10_british_indian_ocean_territory.png,Which country does this flag belong to?,Turkmenistan,Afghanistan,British Indian Ocean Territory,Andorra,British Indian Ocean Territory,C
Set_11,31,beginner,beginner11,cameroon,Cameroon,begin11_cameroon.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/begin11_cameroon.png,Which country does this flag belong to?,Cameroon,Suriname,Mongolia,Belize,Cameroon,A
Set_11,32,intermediate,intermediate11,botswana,Botswana,inter11_botswana.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/inter11_botswana.png,Which country does this flag belong to?,Ecuador,Botswana,Guatemala,England,Botswana,B
Set_11,33,high,high11,burundi,Burundi,high11_burundi.png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/high11_burundi.png,Which country does this flag belong to?,Canada,Réunion,Burundi,Montenegro,Burundi,C
